DMSO_6_3_RIBO	DMSO_6_4_RIBO	DMSO_6_1_RNA	DMSO_6_2_RNA	DMSO_6_3_RNA	DMSO_6_4_RNA	DMSO_30_1_RIBO	DMSO_30_2_RIBO	DMSO_30_3_RIBO	DMSO_30_1_RNA	DMSO_30_2_RNA	DMSO_30_3_RNA	PP_30_1_RIBO	PP_30_2_RIBO	PP_30_3_RIBO	PP_30_1_RNA	PP_30_2_RNA	PP_30_3_RNA	PP_6_1_RIBO	PP_6_3_RIBO	PP_6_1_RNA	PP_6_2_RNA	PP_6_3_RNA
DDX11L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WASH7P	0.0	0.0	5.0	10.0	6.0	4.0	0.0	0.0	0.0	27.0	31.0	19.0	0.0	0.0	0.0	21.0	5.0	12.0	0.0	0.0	7.0	15.0	5.0
MIR6859-1	0.0	0.0	2.0	1.0	1.0	3.0	0.0	0.0	0.0	12.0	12.0	5.0	0.0	0.0	0.0	1.0	12.0	8.0	0.0	0.0	2.0	1.0	2.0
MIR1302-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC729737	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	2.0	2.0	0.0	0.0	0.0	2.0	1.0	4.0	0.0	0.0	1.0	3.0	1.0
DDX11L17	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0
MIR6859-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
LOC101928626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR12136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	7.0	5.0	0.0	0.0	0.0	5.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288069	7.0	2.0	12.0	17.0	15.0	22.0	0.0	3.0	0.0	51.0	57.0	56.0	0.0	3.0	0.0	40.0	21.0	36.0	0.0	2.0	11.0	28.0	20.0
FAM87B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	5.0	0.0	0.0	0.0	12.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0
LINC00115	4.0	1.0	18.0	16.0	26.0	16.0	0.0	5.0	0.0	26.0	38.0	30.0	0.0	0.0	0.0	25.0	45.0	17.0	0.0	1.0	17.0	21.0	21.0
LINC01128	11.0	12.0	216.0	233.0	223.0	248.0	14.0	4.0	9.0	250.0	352.0	318.0	8.0	3.0	17.0	244.0	200.0	253.0	6.0	10.0	112.0	196.0	171.0
FAM41C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
LINC02593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	34.0	25.0	0.0	0.0	0.0	18.0	17.0	37.0	0.0	0.0	0.0	0.0	0.0
LOC107985728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	17.0	20.0	0.0	0.0	0.0	11.0	2.0	21.0	0.0	0.0	0.0	0.0	0.0
SAMD11	2.0	0.0	0.0	1.0	0.0	2.0	0.0	25.0	1.0	5.0	4.0	7.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	8.0	1.0	3.0	1.0
NOC2L	480.0	438.0	1157.0	1275.0	1216.0	1422.0	1976.0	1252.0	1582.0	2403.0	3115.0	2703.0	700.0	960.0	943.0	2374.0	1989.0	2590.0	510.0	384.0	1237.0	1384.0	1130.0
KLHL17	19.0	36.0	103.0	115.0	90.0	109.0	20.0	77.0	102.0	927.0	1320.0	1059.0	47.0	64.0	66.0	977.0	768.0	1093.0	42.0	27.0	78.0	105.0	113.0
PLEKHN1	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	2.0	5.0	0.0	0.0	0.0
PERM1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0
HES4	7.0	16.0	39.0	36.0	40.0	46.0	15.0	22.0	25.0	202.0	230.0	156.0	62.0	28.0	86.0	178.0	171.0	225.0	31.0	13.0	11.0	22.0	19.0
ISG15	89.0	81.0	84.0	76.0	86.0	112.0	86.0	78.0	147.0	120.0	149.0	136.0	110.0	69.0	141.0	80.0	92.0	96.0	53.0	44.0	32.0	71.0	65.0
AGRN	2440.0	2555.0	3509.0	3444.0	3410.0	4034.0	11890.0	9831.0	9936.0	21445.0	29990.0	23674.0	6988.0	5994.0	5040.0	21852.0	18111.0	25253.0	2467.0	2002.0	4685.0	5355.0	4864.0
LOC100288175	0.0	0.0	3.0	8.0	5.0	10.0	43.0	3.0	0.0	21.0	16.0	20.0	0.0	0.0	0.0	16.0	5.0	23.0	1.0	0.0	4.0	11.0	13.0
LOC105378948	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNF223	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	11.0	0.0	1.0	0.0
C1orf159	67.0	92.0	139.0	166.0	160.0	161.0	93.0	93.0	58.0	458.0	607.0	582.0	78.0	127.0	36.0	478.0	499.0	567.0	43.0	43.0	87.0	148.0	107.0
LINC01342	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
MIR200B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR200A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIR429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF18	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	3.0	5.0	0.0	0.0	0.0	0.0	1.0
TNFRSF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	3.0	0.0	1.0	0.0	3.0	1.0	6.0	3.0	0.0	0.0	0.0	2.0
SDF4	554.0	580.0	1156.0	1200.0	1236.0	1463.0	2560.0	1726.0	1567.0	3839.0	5170.0	4077.0	1123.0	1719.0	1036.0	3828.0	3266.0	4382.0	809.0	667.0	1071.0	1071.0	1016.0
B3GALT6	80.0	106.0	814.0	883.0	800.0	1059.0	132.0	188.0	217.0	1367.0	1920.0	1493.0	106.0	72.0	83.0	1432.0	1155.0	1603.0	75.0	59.0	610.0	831.0	772.0
C1QTNF12	0.0	0.0	2.0	1.0	2.0	3.0	0.0	0.0	0.0	17.0	24.0	20.0	0.0	0.0	0.0	19.0	14.0	24.0	0.0	0.0	0.0	0.0	0.0
UBE2J2	173.0	182.0	814.0	809.0	804.0	968.0	915.0	447.0	674.0	1396.0	1973.0	1518.0	431.0	493.0	463.0	1542.0	1164.0	1582.0	241.0	210.0	502.0	658.0	571.0
SCNN1D	0.0	4.0	48.0	50.0	50.0	41.0	3.0	20.0	2.0	440.0	711.0	522.0	0.0	5.0	2.0	434.0	413.0	526.0	0.0	1.0	51.0	60.0	57.0
ACAP3	562.0	810.0	2924.0	2960.0	3045.0	3516.0	2038.0	1941.0	1981.0	19811.0	27344.0	22050.0	1357.0	1284.0	765.0	20198.0	17049.0	21474.0	905.0	729.0	2252.0	3372.0	3039.0
MIR6726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SNORD167	4.0	1.0	12.0	7.0	20.0	18.0	0.0	0.0	4.0	175.0	270.0	230.0	0.0	0.0	0.0	144.0	168.0	148.0	0.0	3.0	3.0	17.0	9.0
PUSL1	113.0	160.0	487.0	448.0	455.0	511.0	468.0	403.0	421.0	778.0	968.0	772.0	252.0	295.0	237.0	770.0	732.0	859.0	145.0	124.0	208.0	375.0	340.0
