DMSO_6_3_RIBO	DMSO_6_4_RIBO	DMSO_6_1_RNA	DMSO_6_2_RNA	DMSO_6_3_RNA	DMSO_6_4_RNA	DMSO_30_1_RIBO	DMSO_30_2_RIBO	DMSO_30_3_RIBO	DMSO_30_1_RNA	DMSO_30_2_RNA	DMSO_30_3_RNA	PP_30_1_RIBO	PP_30_2_RIBO	PP_30_3_RIBO	PP_30_1_RNA	PP_30_2_RNA	PP_30_3_RNA	PP_6_1_RIBO	PP_6_3_RIBO	PP_6_1_RNA	PP_6_2_RNA	PP_6_3_RNA
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	0	0	5	10	6	4	0	0	0	27	31	19	0	0	0	21	5	12	0	0	7	15	5
MIR6859-1	0	0	2	1	1	3	0	0	0	12	12	5	0	0	0	1	12	8	0	0	2	1	2
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC729737	0	0	1	0	2	0	0	0	0	6	2	2	0	0	0	2	1	4	0	0	1	3	1
DDX11L17	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	3	0	0	2	0	0
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	0	0	0	0	0	0	0	0	1	14	7	5	0	0	0	5	4	6	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100288069	7	2	12	17	15	22	0	3	0	51	57	56	0	3	0	40	21	36	0	2	11	28	20
FAM87B	0	0	0	0	0	0	0	0	0	3	9	5	0	0	0	12	8	2	0	0	0	0	0
LINC00115	4	1	18	16	26	16	0	5	0	26	38	30	0	0	0	25	45	17	0	1	17	21	21
LINC01128	11	12	216	233	223	248	14	4	9	250	352	318	8	3	17	244	200	253	6	10	112	196	171
FAM41C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC02593	0	0	0	0	0	0	0	0	0	37	34	25	0	0	0	18	17	37	0	0	0	0	0
LOC107985728	0	0	0	0	0	0	0	0	0	12	17	20	0	0	0	11	2	21	0	0	0	0	0
SAMD11	2	0	0	1	0	2	0	25	1	5	4	7	0	1	0	0	2	2	1	8	1	3	1
NOC2L	480	438	1157	1275	1216	1422	1976	1252	1582	2403	3115	2703	700	960	943	2374	1989	2590	510	384	1237	1384	1130
KLHL17	19	36	103	115	90	109	20	77	102	927	1320	1059	47	64	66	977	768	1093	42	27	78	105	113
PLEKHN1	0	2	0	0	1	0	1	1	0	1	4	0	0	1	0	1	0	5	2	5	0	0	0
PERM1	1	0	0	0	0	0	0	0	2	1	0	0	1	0	1	1	0	3	0	0	1	0	0
HES4	7	16	39	36	40	46	15	22	25	202	230	156	62	28	86	178	171	225	31	13	11	22	19
ISG15	89	81	84	76	86	112	86	78	147	120	149	136	110	69	141	80	92	96	53	44	32	71	65
AGRN	2440	2555	3509	3444	3410	4034	11890	9831	9936	21445	29990	23674	6988	5994	5040	21852	18111	25253	2467	2002	4685	5355	4864
LOC100288175	0	0	3	8	5	10	43	3	0	21	16	20	0	0	0	16	5	23	1	0	4	11	13
LOC105378948	1	0	0	0	0	0	0	0	0	5	1	1	1	0	0	0	0	0	0	0	0	0	0
RNF223	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	4	11	0	1	0
C1orf159	67	92	139	166	160	161	93	93	58	458	607	582	78	127	36	478	499	567	43	43	87	148	107
LINC01342	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	1	1	0	0	0	0	0	1	3	1	0	0	0	1	3	5	0	0	0	0	1
TNFRSF4	0	0	0	0	0	0	0	0	0	2	5	3	0	1	0	3	1	6	3	0	0	0	2
SDF4	554	580	1156	1200	1236	1463	2560	1726	1567	3839	5170	4077	1123	1719	1036	3828	3266	4382	809	667	1071	1071	1016
B3GALT6	80	106	814	883	800	1059	132	188	217	1367	1920	1493	106	72	83	1432	1155	1603	75	59	610	831	772
C1QTNF12	0	0	2	1	2	3	0	0	0	17	24	20	0	0	0	19	14	24	0	0	0	0	0
UBE2J2	173	182	814	809	804	968	915	447	674	1396	1973	1518	431	493	463	1542	1164	1582	241	210	502	658	571
SCNN1D	0	4	48	50	50	41	3	20	2	440	711	522	0	5	2	434	413	526	0	1	51	60	57
ACAP3	562	810	2924	2960	3045	3516	2038	1941	1981	19811	27344	22050	1357	1284	765	20198	17049	21474	905	729	2252	3372	3039
MIR6726	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0
SNORD167	4	1	12	7	20	18	0	0	4	175	270	230	0	0	0	144	168	148	0	3	3	17	9
PUSL1	113	160	487	448	455	511	468	403	421	778	968	772	252	295	237	770	732	859	145	124	208	375	340
INTS11	178	196	413	441	417	485	1448	649	931	1785	2656	2121	446	472	355	1718	1434	1982	325	318	591	841	688
MIR6727	0	0	0	0	1	0	0	0	0	2	4	11	0	0	0	5	11	3	0	0	0	0	0
CPTP	41	26	198	189	185	221	118	45	128	532	634	510	129	101	35	363	450	510	78	75	205	206	173
TAS1R3	0	2	6	4	1	2	1	1	1	60	76	51	1	1	0	65	31	48	1	0	5	4	4
DVL1	48	95	975	972	946	1125	272	204	250	2963	3861	2970	102	126	47	3142	2641	3401	115	69	925	970	869
MIR6808	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
MXRA8	0	0	0	0	1	1	6	0	6	55	73	67	0	1	0	67	57	60	5	3	1	0	1
AURKAIP1	344	397	800	799	732	898	1162	865	943	1307	1809	1398	661	861	770	1152	1195	1423	335	302	450	668	552
CCNL2	113	180	1667	1627	1645	2000	427	229	444	6613	9254	7985	284	294	215	6426	5263	6998	116	95	777	1850	1579
MRPL20-AS1	29	29	237	209	228	256	12	103	223	308	470	406	50	81	42	366	286	321	64	53	227	272	274
MRPL20	424	387	1022	973	970	1161	1217	841	1010	1093	1380	1212	578	853	381	973	990	1082	324	283	545	758	663
MRPL20-DT	1	0	90	96	82	109	0	0	0	108	169	135	0	0	0	111	101	109	0	0	59	89	70
ANKRD65	0	0	2	7	2	1	0	0	0	16	18	24	0	0	0	13	3	5	1	0	0	3	2
TMEM88B	0	0	1	0	1	0	0	0	0	19	22	22	0	0	0	12	18	25	4	0	3	0	2
LINC01770	1	1	7	4	6	2	0	2	0	12	26	25	0	1	0	9	31	10	2	1	3	2	1
VWA1	37	30	102	116	110	127	213	125	295	501	597	411	55	184	183	367	401	556	31	21	42	42	32
ATAD3C	0	0	0	0	0	1	3	0	2	16	8	2	1	0	0	0	1	2	0	0	0	0	0
ATAD3B	40	75	690	633	662	807	93	53	93	809	1304	928	37	77	75	976	807	1060	14	8	327	580	495
ATAD3A	137	156	895	862	863	1064	427	300	346	1489	2106	1618	206	383	188	1617	1521	1818	55	60	563	763	723
TMEM240	0	1	3	0	1	2	0	3	0	12	13	8	0	0	0	13	11	16	0	0	2	0	0
SSU72	86	94	1406	1323	1336	1510	567	424	482	2391	3312	2594	268	293	124	2309	2153	2552	138	77	970	1006	795
FNDC10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MIB2	42	62	181	182	161	205	135	113	52	1088	1459	1185	59	65	116	1149	928	1207	73	54	138	166	165
MMP23B	0	0	0	0	0	0	0	0	0	13	4	5	0	0	0	12	0	6	0	0	0	0	0
CDK11B	126	127	269	322	277	371	611	393	365	1142	1468	1280	172	237	164	1103	928	1142	184	104	360	340	285
SLC35E2B	20	34	934	999	1000	1227	188	219	167	1461	2320	1983	114	83	23	1651	1348	1834	34	25	887	1684	1511
MMP23A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
CDK11A	24	15	85	100	118	123	80	116	118	664	922	792	37	56	37	713	703	779	37	32	146	139	112
SLC35E2A	2	3	509	545	524	600	27	1	7	603	1026	905	29	6	10	665	539	704	9	9	580	1019	913
NADK	78	69	1065	1070	1057	1228	555	274	376	1892	2619	2106	158	230	171	1929	1649	2095	119	123	666	1161	985
GNB1	1561	1656	9899	9946	9810	11948	7560	4962	6612	13053	20118	16606	3613	4500	2959	13348	12405	15258	1798	1361	3931	7419	6631
LOC105378949	0	1	4	8	4	6	0	0	0	12	17	12	0	0	0	11	8	8	1	3	16	9	7
