condition,type
ribo_19,BKM,RIBO
ribo_32,BKM,RIBO
ribo_45,BKM,RIBO
ribo_58,BKM,RIBO
ribo_71,BKM,RIBO
ribo_13,AZD,RIBO
ribo_26,AZD,RIBO
ribo_39,AZD,RIBO
ribo_52,AZD,RIBO
ribo_65,AZD,RIBO
ribo_49,PP242MNK1,RIBO
ribo_50,PP242MNK1,RIBO
ribo_63,PP242MNK1,RIBO
ribo_64,PP242MNK1,RIBO
ribo_77,PP242MNK1,RIBO
ribo_1,CTRL,RIBO
ribo_3,CTRL,RIBO
ribo_5,CTRL,RIBO
ribo_8,CTRL,RIBO
ribo_12,CTRL,RIBO
ribo_14,CTRL,RIBO
ribo_16,CTRL,RIBO
ribo_18,CTRL,RIBO
ribo_23,CTRL,RIBO
ribo_24,CTRL,RIBO
ribo_25,CTRL,RIBO
ribo_27,CTRL,RIBO
ribo_29,CTRL,RIBO
ribo_31,CTRL,RIBO
ribo_33,CTRL,RIBO
ribo_37,CTRL,RIBO
ribo_38,CTRL,RIBO
ribo_40,CTRL,RIBO
ribo_42,CTRL,RIBO
ribo_44,CTRL,RIBO
ribo_46,CTRL,RIBO
ribo_47,CTRL,RIBO
ribo_48,CTRL,RIBO
ribo_51,CTRL,RIBO
ribo_53,CTRL,RIBO
ribo_55,CTRL,RIBO
ribo_57,CTRL,RIBO
ribo_61,CTRL,RIBO
ribo_62,CTRL,RIBO
ribo_66,CTRL,RIBO
ribo_68,CTRL,RIBO
ribo_70,CTRL,RIBO
ribo_72,CTRL,RIBO
ribo_75,CTRL,RIBO
ribo_78,CTRL,RIBO
ribo_80,CTRL,RIBO
ribo_82,CTRL,RIBO
ribo_84,CTRL,RIBO
ribo_85,CTRL,RIBO
ribo_86,CTRL,RIBO
ribo_89,CTRL,RIBO
ribo_90,CTRL,RIBO
ribo_92,CTRL,RIBO
ribo_93,CTRL,RIBO
ribo_94,CTRL,RIBO
ribo_95,CTRL,RIBO
ribo_2,MNK1,RIBO
ribo_15,MNK1,RIBO
ribo_28,MNK1,RIBO
ribo_41,MNK1,RIBO
ribo_54,MNK1,RIBO
ribo_67,MNK1,RIBO
ribo_73,PP242BKM,RIBO
ribo_74,PP242BKM,RIBO
ribo_87,PP242BKM,RIBO
ribo_88,PP242BKM,RIBO
ribo_91,PP242BKM,RIBO
ribo_7,MNK1BKM,RIBO
ribo_20,MNK1BKM,RIBO
ribo_21,MNK1BKM,RIBO
ribo_35,MNK1BKM,RIBO
ribo_59,4EGI1,RIBO
ribo_79,4EGI1,RIBO
ribo_81,4EGI1,RIBO
ribo_83,4EGI1,RIBO
ribo_17,PP242,RIBO
ribo_30,PP242,RIBO
ribo_43,PP242,RIBO
ribo_56,PP242,RIBO
ribo_69,PP242,RIBO
rna_19,BKM,RNA
rna_32,BKM,RNA
rna_45,BKM,RNA
rna_58,BKM,RNA
rna_71,BKM,RNA
rna_13,AZD,RNA
rna_26,AZD,RNA
rna_39,AZD,RNA
rna_52,AZD,RNA
rna_65,AZD,RNA
rna_49,PP242MNK1,RNA
rna_50,PP242MNK1,RNA
rna_63,PP242MNK1,RNA
rna_64,PP242MNK1,RNA
rna_77,PP242MNK1,RNA
rna_1,CTRL,RNA
rna_3,CTRL,RNA
rna_5,CTRL,RNA
rna_8,CTRL,RNA
rna_12,CTRL,RNA
rna_14,CTRL,RNA
rna_16,CTRL,RNA
rna_18,CTRL,RNA
rna_23,CTRL,RNA
rna_24,CTRL,RNA
rna_25,CTRL,RNA
rna_27,CTRL,RNA
rna_29,CTRL,RNA
rna_31,CTRL,RNA
rna_33,CTRL,RNA
rna_37,CTRL,RNA
rna_38,CTRL,RNA
rna_40,CTRL,RNA
rna_42,CTRL,RNA
rna_44,CTRL,RNA
rna_46,CTRL,RNA
rna_47,CTRL,RNA
rna_48,CTRL,RNA
rna_51,CTRL,RNA
rna_53,CTRL,RNA
rna_55,CTRL,RNA
rna_57,CTRL,RNA
rna_61,CTRL,RNA
rna_62,CTRL,RNA
rna_66,CTRL,RNA
rna_68,CTRL,RNA
rna_70,CTRL,RNA
rna_72,CTRL,RNA
rna_75,CTRL,RNA
rna_78,CTRL,RNA
rna_80,CTRL,RNA
rna_82,CTRL,RNA
rna_84,CTRL,RNA
rna_85,CTRL,RNA
rna_86,CTRL,RNA
rna_89,CTRL,RNA
rna_90,CTRL,RNA
rna_92,CTRL,RNA
rna_93,CTRL,RNA
rna_94,CTRL,RNA
rna_95,CTRL,RNA
rna_2,MNK1,RNA
rna_15,MNK1,RNA
rna_28,MNK1,RNA
rna_41,MNK1,RNA
rna_54,MNK1,RNA
rna_67,MNK1,RNA
rna_73,PP242BKM,RNA
rna_74,PP242BKM,RNA
rna_87,PP242BKM,RNA
rna_88,PP242BKM,RNA
rna_91,PP242BKM,RNA
rna_7,MNK1BKM,RNA
rna_20,MNK1BKM,RNA
rna_21,MNK1BKM,RNA
rna_35,MNK1BKM,RNA
rna_59,4EGI1,RNA
rna_79,4EGI1,RNA
rna_81,4EGI1,RNA
rna_83,4EGI1,RNA
rna_17,PP242,RNA
rna_30,PP242,RNA
rna_43,PP242,RNA
rna_56,PP242,RNA
rna_69,PP242,RNA
