ERCC,type
ribo_1,-,RIBO
ribo_3,-,RIBO
ribo_5,-,RIBO
ribo_7,-,RIBO
ribo_9,-,RIBO
ribo_11,-,RIBO
ribo_13,-,RIBO
ribo_15,-,RIBO
ribo_17,-,RIBO
ribo_19,-,RIBO
ribo_21,-,RIBO
ribo_23,-,RIBO
ribo_25,-,RIBO
ribo_27,-,RIBO
ribo_29,-,RIBO
ribo_31,-,RIBO
ribo_33,-,RIBO
ribo_35,-,RIBO
ribo_37,-,RIBO
ribo_39,-,RIBO
ribo_41,-,RIBO
ribo_43,-,RIBO
ribo_45,-,RIBO
ribo_47,-,RIBO
ribo_49,-,RIBO
ribo_51,-,RIBO
ribo_53,-,RIBO
ribo_55,-,RIBO
ribo_57,-,RIBO
ribo_59,-,RIBO
ribo_61,-,RIBO
ribo_63,-,RIBO
ribo_65,-,RIBO
ribo_67,-,RIBO
ribo_69,-,RIBO
ribo_71,-,RIBO
ribo_73,-,RIBO
ribo_75,-,RIBO
ribo_77,-,RIBO
ribo_79,-,RIBO
ribo_81,-,RIBO
ribo_83,-,RIBO
ribo_85,-,RIBO
ribo_87,-,RIBO
ribo_89,-,RIBO
ribo_91,-,RIBO
ribo_93,-,RIBO
ribo_95,-,RIBO
ribo_0,,RIBO
ribo_2,,RIBO
ribo_4,,RIBO
ribo_6,,RIBO
ribo_8,,RIBO
ribo_10,,RIBO
ribo_12,,RIBO
ribo_14,,RIBO
ribo_16,,RIBO
ribo_18,,RIBO
ribo_20,,RIBO
ribo_22,,RIBO
ribo_24,,RIBO
ribo_26,,RIBO
ribo_28,,RIBO
ribo_30,,RIBO
ribo_32,,RIBO
ribo_34,,RIBO
ribo_36,,RIBO
ribo_38,,RIBO
ribo_40,,RIBO
ribo_42,,RIBO
ribo_44,,RIBO
ribo_46,,RIBO
ribo_48,,RIBO
ribo_50,,RIBO
ribo_52,,RIBO
ribo_54,,RIBO
ribo_56,,RIBO
ribo_58,,RIBO
ribo_60,,RIBO
ribo_62,,RIBO
ribo_64,,RIBO
ribo_66,,RIBO
ribo_68,,RIBO
ribo_70,,RIBO
ribo_72,,RIBO
ribo_74,,RIBO
ribo_76,,RIBO
ribo_78,,RIBO
ribo_80,,RIBO
ribo_82,,RIBO
ribo_84,,RIBO
ribo_86,,RIBO
ribo_88,,RIBO
ribo_90,,RIBO
ribo_92,,RIBO
ribo_94,,RIBO
rna_1,-,RNA
rna_3,-,RNA
rna_5,-,RNA
rna_7,-,RNA
rna_9,-,RNA
rna_11,-,RNA
rna_13,-,RNA
rna_15,-,RNA
rna_17,-,RNA
rna_19,-,RNA
rna_21,-,RNA
rna_23,-,RNA
rna_25,-,RNA
rna_27,-,RNA
rna_29,-,RNA
rna_31,-,RNA
rna_33,-,RNA
rna_35,-,RNA
rna_37,-,RNA
rna_39,-,RNA
rna_41,-,RNA
rna_43,-,RNA
rna_45,-,RNA
rna_47,-,RNA
rna_49,-,RNA
rna_51,-,RNA
rna_53,-,RNA
rna_55,-,RNA
rna_57,-,RNA
rna_59,-,RNA
rna_61,-,RNA
rna_63,-,RNA
rna_65,-,RNA
rna_67,-,RNA
rna_69,-,RNA
rna_71,-,RNA
rna_73,-,RNA
rna_75,-,RNA
rna_77,-,RNA
rna_79,-,RNA
rna_81,-,RNA
rna_83,-,RNA
rna_85,-,RNA
rna_87,-,RNA
rna_89,-,RNA
rna_91,-,RNA
rna_93,-,RNA
rna_95,-,RNA
rna_0,,RNA
rna_2,,RNA
rna_4,,RNA
rna_6,,RNA
rna_8,,RNA
rna_10,,RNA
rna_12,,RNA
rna_14,,RNA
rna_16,,RNA
rna_18,,RNA
rna_20,,RNA
rna_22,,RNA
rna_24,,RNA
rna_26,,RNA
rna_28,,RNA
rna_30,,RNA
rna_32,,RNA
rna_34,,RNA
rna_36,,RNA
rna_38,,RNA
rna_40,,RNA
rna_42,,RNA
rna_44,,RNA
rna_46,,RNA
rna_48,,RNA
rna_50,,RNA
rna_52,,RNA
rna_54,,RNA
rna_56,,RNA
rna_58,,RNA
rna_60,,RNA
rna_62,,RNA
rna_64,,RNA
rna_66,,RNA
rna_68,,RNA
rna_70,,RNA
rna_72,,RNA
rna_74,,RNA
rna_76,,RNA
rna_78,,RNA
rna_80,,RNA
rna_82,,RNA
rna_84,,RNA
rna_86,,RNA
rna_88,,RNA
rna_90,,RNA
rna_92,,RNA
rna_94,,RNA
