sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"TVAS5","Unmatched","","","",""
"RPPH1","Approved symbol","RPPH1","ribonuclease P RNA component H1","HGNC:19273","14q11.2"
"RMRP","Approved symbol","RMRP","RNA component of mitochondrial RNA processing endoribonuclease","HGNC:10031","9p13.3"
"SCARNA2","Approved symbol","SCARNA2","small Cajal body-specific RNA 2","HGNC:32558","1q13.1"
"HIST1H3D","Previous symbol","H3C4","H3 clustered histone 4","HGNC:4767","6p22.2"
"HIST1H4F","Previous symbol","H4C6","H4 clustered histone 6","HGNC:4783","6p22.2"
"HIST1H3H","Previous symbol","H3C10","H3 clustered histone 10","HGNC:4775","6p22.1"
"HIST1H3B","Previous symbol","H3C2","H3 clustered histone 2","HGNC:4776","6p22.2"
"HIST1H4D","Previous symbol","H4C4","H4 clustered histone 4","HGNC:4782","6p22.2"
"HIST1H4H","Previous symbol","H4C8","H4 clustered histone 8","HGNC:4788","6p22.2"
"HIST1H1B","Previous symbol","H1-5","H1.5 linker histone, cluster member","HGNC:4719","6p22.1"
"HIST1H3E","Previous symbol","H3C6","H3 clustered histone 6","HGNC:4769","6p22.2"
"HIST1H2AC","Previous symbol","H2AC6","H2A clustered histone 6","HGNC:4733","6p22.2"
"HIST1H2AH","Previous symbol","H2AC12","H2A clustered histone 12","HGNC:13671","6p22.1"
"HIST1H3F","Previous symbol","H3C7","H3 clustered histone 7","HGNC:4773","6p22.2"
"HIST1H1D","Previous symbol","H1-3","H1.3 linker histone, cluster member","HGNC:4717","6p22.2"
"HIST1H2AG","Previous symbol","H2AC11","H2A clustered histone 11","HGNC:4737","6p22.1"
"HIST1H2AE","Previous symbol","H2AC8","H2A clustered histone 8","HGNC:4724","6p22.2"
"HIST1H2AM","Previous symbol","H2AC17","H2A clustered histone 17","HGNC:4735","6p22.1"
"HIST1H4B","Previous symbol","H4C2","H4 clustered histone 2","HGNC:4789","6p22.2"
"HIST1H2BO","Previous symbol","H2BC17","H2B clustered histone 17","HGNC:4758","6p22.1"
"PWCR1","Unmatched","","","",""
"HIST1H2AD","Previous symbol","H2AC7","H2A clustered histone 7","HGNC:4729","6p22.2"
"HIST1H3G","Previous symbol","H3C8","H3 clustered histone 8","HGNC:4772","6p22.2"
"HIST1H2BG","Previous symbol","H2BC8","H2B clustered histone 8","HGNC:4746","6p22.2"
"HIST1H2BC","Previous symbol","H2BC4","H2B clustered histone 4","HGNC:4757","6p22.2"
"HIST1H3J","Previous symbol","H3C12","H3 clustered histone 12","HGNC:4774","6p22.1"
"HIST1H4C","Previous symbol","H4C3","H4 clustered histone 3","HGNC:4787","6p22.2"
"HIST4H4","Previous symbol","H4-16","H4 histone 16","HGNC:20510","12p12.3"
"HIST1H2AL","Previous symbol","H2AC16","H2A clustered histone 16","HGNC:4730","6p22.1"
"HIST1H3I","Previous symbol","H3C11","H3 clustered histone 11","HGNC:4771","6p22.1"
"HIST1H2AB","Previous symbol","H2AC4","H2A clustered histone 4","HGNC:4734","6p22.2"
"HIST1H4A","Previous symbol","H4C1","H4 clustered histone 1","HGNC:4781","6p22.2"
"HIST1H2BE","Previous symbol","H2BC6","H2B clustered histone 6","HGNC:4753","6p22.2"
"HIST1H2BL","Previous symbol","H2BC13","H2B clustered histone 13","HGNC:4748","6p22.1"
"HIST2H2AB","Previous symbol","H2AC21","H2A clustered histone 21","HGNC:20508","1q21.2"
"HIST1H2BH","Previous symbol","H2BC9","H2B clustered histone 9","HGNC:4755","6p22.2"
"HIST1H3A","Previous symbol","H3C1","H3 clustered histone 1","HGNC:4766","6p22.2"
"HIST1H2BN","Previous symbol","H2BC15","H2B clustered histone 15","HGNC:4749","6p22.1"
"HIST1H1C","Previous symbol","H1-2","H1.2 linker histone, cluster member","HGNC:4716","6p22.2"
"HIST1H2BK","Previous symbol","H2BC12","H2B clustered histone 12","HGNC:13954","6p22.1"
"HIST2H2AC","Previous symbol","H2AC20","H2A clustered histone 20","HGNC:4738","1q21.2"
"HIST1H2AJ","Previous symbol","H2AC14","H2A clustered histone 14","HGNC:4727","6p22.1"
"TERC","Approved symbol","TERC","telomerase RNA component","HGNC:11727","3q26.2"
"HIST1H1E","Previous symbol","H1-4","H1.4 linker histone, cluster member","HGNC:4718","6p22.2"
"HIST1H2AK","Previous symbol","H2AC15","H2A clustered histone 15","HGNC:4726","6p22.1"
"HIST1H4L","Previous symbol","H4C13","H4 clustered histone 13","HGNC:4791","6p22.1"
"HIST1H2BI","Previous symbol","H2BC10","H2B clustered histone 10","HGNC:4756","6p22.2"
"HIST2H2BE","Previous symbol","H2BC21","H2B clustered histone 21","HGNC:4760","1q21.2"
"HIST3H2BB","Previous symbol","H2BU1","H2B.U histone 1","HGNC:20514","1q42.13"
"HIST1H2BF","Previous symbol","H2BC7","H2B clustered histone 7","HGNC:4752","6p22.2"
"HIST1H2BM","Previous symbol","H2BC14","H2B clustered histone 14","HGNC:4750","6p22.1"
"SCARNA10","Approved symbol","SCARNA10","small Cajal body-specific RNA 10","HGNC:32567","12p13.31"
"HIST1H2BD","Previous symbol","H2BC5","H2B clustered histone 5","HGNC:4747","6p22.2"
"ZNF460","Approved symbol","ZNF460","zinc finger protein 460","HGNC:21628","19q13.43"
"SNURF-SNRPN","Alias symbol","SNRPN","small nuclear ribonucleoprotein polypeptide N","HGNC:11164","15q11.2"
"HIST3H2A","Previous symbol","H2AW","H2A.W histone","HGNC:20507","1q42.13"
"SKIL","Approved symbol","SKIL","SKI like proto-oncogene","HGNC:10897","3q26.2"
"HIST1H4I","Previous symbol","H4C9","H4 clustered histone 9","HGNC:4793","6p22.1"
"HIST1H4E","Previous symbol","H4C5","H4 clustered histone 5","HGNC:4790","6p22.2"
"HIST2H2BF","Previous symbol","H2BC18","H2B clustered histone 18","HGNC:24700","1q21.2"
"ZNF483","Approved symbol","ZNF483","zinc finger protein 483","HGNC:23384","9q31.3"
"FAT3","Approved symbol","FAT3","FAT atypical cadherin 3","HGNC:23112","11q14.3"
"SNORD116-13","Approved symbol","SNORD116-13","small nucleolar RNA, C/D box 116-13","HGNC:33079","15q11.2"
"HIST1H2BJ","Previous symbol","H2BC11","H2B clustered histone 11","HGNC:4761","6p22.1"
"SCARNA9L","Approved symbol","SCARNA9L","small Cajal body-specific RNA 9 like","HGNC:33559","Xp22.12"
"SCARNA12","Approved symbol","SCARNA12","small Cajal body-specific RNA 12","HGNC:32569","12p13.31"
"SMAD2","Approved symbol","SMAD2","SMAD family member 2","HGNC:6768","18q21.1"
"NCRMS","Alias symbol","RMST","rhabdomyosarcoma 2 associated transcript","HGNC:29893","12q23.1"
"AK301230","Unmatched","","","",""
"SCARNA13","Approved symbol","SCARNA13","small Cajal body-specific RNA 13","HGNC:32570","14q32.12"
"KCNQ1OT1","Approved symbol","KCNQ1OT1","KCNQ1 opposite strand/antisense transcript 1","HGNC:6295","11p15.5"
"HIST2H3D","Previous symbol","H3C13","H3 clustered histone 13","HGNC:25311","1q21.2"
"SCARNA9","Approved symbol","SCARNA9","small Cajal body-specific RNA 9","HGNC:32566","11q21"
"TTN","Approved symbol","TTN","titin","HGNC:12403","2q31.2"
"SNHG8","Approved symbol","SNHG8","small nucleolar RNA host gene 8","HGNC:33098","4q26"
"SNORA63","Approved symbol","SNORA63","small nucleolar RNA, H/ACA box 63","HGNC:10106","3q27.3"
"SNORD15B","Approved symbol","SNORD15B","small nucleolar RNA, C/D box 15B","HGNC:16649","11q13.4"
"SNORA74A","Approved symbol","SNORA74A","small nucleolar RNA, H/ACA box 74A","HGNC:10119","5q31.2"
"SNORA48","Approved symbol","SNORA48","small nucleolar RNA, H/ACA box 48","HGNC:32641","17p13.1"
"SNORA24","Approved symbol","SNORA24","small nucleolar RNA, H/ACA box 24","HGNC:32614","4q26"
"SCARNA7","Approved symbol","SCARNA7","small Cajal body-specific RNA 7","HGNC:32563","3q25.22"
"SNORD116-18","Approved symbol","SNORD116-18","small nucleolar RNA, C/D box 116-18","HGNC:33084","15q11.2"
"VMA21","Approved symbol","VMA21","vacuolar ATPase assembly factor VMA21","HGNC:22082","Xq28"
"Pvt1","Approved symbol","PVT1","Pvt1 oncogene","HGNC:9709","8q24.21"
"PAFAH1B2","Approved symbol","PAFAH1B2","platelet activating factor acetylhydrolase 1b catalytic subunit 2","HGNC:8575","11q23.3"
"ZNF678","Approved symbol","ZNF678","zinc finger protein 678","HGNC:28652","1q42.13"
"ZNF480","Approved symbol","ZNF480","zinc finger protein 480","HGNC:23305","19q13.41"
"SNORD116-26","Approved symbol","SNORD116-26","small nucleolar RNA, C/D box 116-26","HGNC:33092","15q11.2"
"ZNF91","Approved symbol","ZNF91","zinc finger protein 91","HGNC:13166","19p12"
"TROVE2","Previous symbol","RO60","Ro60, Y RNA binding protein","HGNC:11313","1q31.2"
"ZNF124","Approved symbol","ZNF124","zinc finger protein 124","HGNC:12907","1q44"
"TMEM107","Approved symbol","TMEM107","transmembrane protein 107","HGNC:28128","17p13.1"
"RNU11","Approved symbol","RNU11","RNA, U11 small nuclear","HGNC:10108","1p35.3"
"SNORA81","Approved symbol","SNORA81","small nucleolar RNA, H/ACA box 81","HGNC:32667","3q27.3"
"KCNG3","Approved symbol","KCNG3","potassium voltage-gated channel modifier subfamily G member 3","HGNC:18306","2p21"
"BRCA2","Approved symbol","BRCA2","BRCA2 DNA repair associated","HGNC:1101","13q13.1"
"HIST1H1A","Previous symbol","H1-1","H1.1 linker histone, cluster member","HGNC:4715","6p22.2"
"SNORD17","Approved symbol","SNORD17","small nucleolar RNA, C/D box 17","HGNC:32713","20p11.23"
"SNORA5C","Approved symbol","SNORA5C","small nucleolar RNA, H/ACA box 5C","HGNC:32590","7p13"
"HIPK3","Approved symbol","HIPK3","homeodomain interacting protein kinase 3","HGNC:4915","11p13"
"C13orf25","Previous symbol","MIR17HG","miR-17-92a-1 cluster host gene","HGNC:23564","13q31.3"
"v_1","Unmatched","","","",""
"ARL5B","Approved symbol","ARL5B","ADP ribosylation factor like GTPase 5B","HGNC:23052","10p12.31"
"SNORD10","Approved symbol","SNORD10","small nucleolar RNA, C/D box 10","HGNC:32706","17p13.1"
"HIST1H3C","Previous symbol","H3C3","H3 clustered histone 3","HGNC:4768","6p22.2"
"FLJ22536","Unmatched","","","",""
"TOR1AIP2","Approved symbol","TOR1AIP2","torsin 1A interacting protein 2","HGNC:24055","1q25.2"
"SNORA23","Approved symbol","SNORA23","small nucleolar RNA, H/ACA box 23","HGNC:32613","11p15.4"
"ZNF805","Approved symbol","ZNF805","zinc finger protein 805","HGNC:23272","19q13.43"
"BC070113","Unmatched","","","",""
"ZNF772","Approved symbol","ZNF772","zinc finger protein 772","HGNC:33106","19q13.43"
"ZNF92","Approved symbol","ZNF92","zinc finger protein 92","HGNC:13168","7q11.21"
"SCARNA5","Approved symbol","SCARNA5","small Cajal body-specific RNA 5","HGNC:32561","2q37.1"
"SCARNA6","Approved symbol","SCARNA6","small Cajal body-specific RNA 6","HGNC:32562","2q37.1"
"ATRNL1","Approved symbol","ATRNL1","attractin like 1","HGNC:29063","10q25.3"
"SNORD116-27","Approved symbol","SNORD116-27","small nucleolar RNA, C/D box 116-27","HGNC:33093","15q11.2"
"ULK4","Approved symbol","ULK4","unc-51 like kinase 4","HGNC:15784","3p22.1"
"GDAP2","Approved symbol","GDAP2","ganglioside induced differentiation associated protein 2","HGNC:18010","1p12"
"SNORA65","Approved symbol","SNORA65","small nucleolar RNA, H/ACA box 65","HGNC:10222","9q33.3"
"SNORD97","Approved symbol","SNORD97","small nucleolar RNA, C/D box 97","HGNC:32760","11p15.3"
"SNORA68","Approved symbol","SNORA68","small nucleolar RNA, H/ACA box 68","HGNC:10225","19p13.11"
"SNORA5A","Approved symbol","SNORA5A","small nucleolar RNA, H/ACA box 5A","HGNC:32588","7p13"
"SNORD116-14","Approved symbol","SNORD116-14","small nucleolar RNA, C/D box 116-14","HGNC:33080","15q11.2"
"CR590086","Unmatched","","","",""
"NPAT","Approved symbol","NPAT","nuclear protein, coactivator of histone transcription","HGNC:7896","11q22.3"
"HIST1H1T","Previous symbol","H1-6","H1.6 linker histone, cluster member","HGNC:4720","6p22.2"
"RFX3","Approved symbol","RFX3","regulatory factor X3","HGNC:9984","9p24.2"
"SNORA57","Approved symbol","SNORA57","small nucleolar RNA, H/ACA box 57","HGNC:32651","11q12.2"
"SESN3","Approved symbol","SESN3","sestrin 3","HGNC:23060","11q21"
"SYDE2","Approved symbol","SYDE2","synapse defective Rho GTPase homolog 2","HGNC:25841","1p22.3"
"ZNF765","Approved symbol","ZNF765","zinc finger protein 765","HGNC:25092","19q13.42"
"SNORA53","Approved symbol","SNORA53","small nucleolar RNA, H/ACA box 53","HGNC:32646","12q23.1"
"BX538073","Unmatched","","","",""
